datahora,country,estado,municipio,bioma,Latitude,Longitude
9/1/20,Brasil,MARANHAO,JENIPAPO DOS VIEIRAS,Cerrado,-5.32,-45.764
9/1/20,Brasil,MARANHAO,AMARANTE DO MARANHAO,Cerrado,-5.479,-46.756
9/1/20,Brasil,MARANHAO,FORMOSA DA SERRA NEGRA,Cerrado,-6.435,-46.1
9/1/20,Brasil,MARANHAO,AMARANTE DO MARANHAO,Cerrado,-5.477,-46.743
9/1/20,Brasil,MARANHAO,AMARANTE DO MARANHAO,Cerrado,-5.488,-46.741
9/1/20,Brasil,MARANHAO,BARRA DO CORDA,Cerrado,-5.725,-45.299
9/1/20,Brasil,MARANHAO,FORMOSA DA SERRA NEGRA,Cerrado,-6.433,-46.088
9/1/20,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,-6.324,-52.779
9/1/20,Brasil,MARANHAO,PRESIDENTE MEDICI,Amazonia,-2.423,-45.847
9/1/20,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,-6.262,-52.308
9/1/20,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,-6.365,-45.58
9/1/20,Brasil,TOCANTINS,AXIXA DO TOCANTINS,Cerrado,-5.652,-47.751
9/1/20,Brasil,TOCANTINS,AXIXA DO TOCANTINS,Cerrado,-5.647,-47.745
9/1/20,Brasil,MARANHAO,BARRA DO CORDA,Cerrado,-5.743,-45.353
9/1/20,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,-6.283,-44.98
9/1/20,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,-6.325,-52.771
9/1/20,Brasil,PARA,IRITUIA,Amazonia,-1.73,-47.346
9/1/20,Brasil,PARA,SAO DOMINGOS DO CAPIM,Amazonia,-1.988,-47.847
9/1/20,Brasil,TOCANTINS,PRESIDENTE KENNEDY,Cerrado,-8.54,-48.427
9/1/20,Brasil,MARANHAO,PRESIDENTE JUSCELINO,Amazonia,-3.087,-44.061
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.893,-44.143
9/1/20,Brasil,MARANHAO,CARUTAPERA,Amazonia,-1.294,-46.015
9/1/20,Brasil,TOCANTINS,PRESIDENTE KENNEDY,Cerrado,-8.556,-48.446
9/1/20,Brasil,MARANHAO,COLINAS,Cerrado,-5.892,-44.134
9/1/20,Brasil,PARA,NOVO REPARTIMENTO,Amazonia,-4,-50.58
9/1/20,Brasil,MATO GROSSO,SANTA TEREZINHA,Amazonia,-10.008,-50.344
9/1/20,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,-9.515,-46.202
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.075,-44.311
9/1/20,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,-9.513,-46.188
9/1/20,Brasil,PARA,BRAGANCA,Amazonia,-1.158,-46.637
9/1/20,Brasil,TOCANTINS,LIZARDA,Cerrado,-9.579,-46.598
9/1/20,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,-5.658,-51.665
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.073,-44.301
9/1/20,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,-9.524,-46.186
9/1/20,Brasil,MARANHAO,GODOFREDO VIANA,Amazonia,-1.421,-45.751
9/1/20,Brasil,PARA,PARAUAPEBAS,Amazonia,-6.327,-51.111
9/1/20,Brasil,MARANHAO,ALCANTARA,Amazonia,-2.429,-44.545
9/1/20,Brasil,MARANHAO,SANTA FILOMENA DO MARANHAO,Cerrado,-5.476,-44.693
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.336,-44.929
9/1/20,Brasil,MARANHAO,SANTA FILOMENA DO MARANHAO,Cerrado,-5.475,-44.682
9/1/20,Brasil,MARANHAO,SANTA FILOMENA DO MARANHAO,Cerrado,-5.486,-44.691
9/1/20,Brasil,MARANHAO,BARRA DO CORDA,Cerrado,-5.802,-45.194
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.334,-44.919
9/1/20,Brasil,TOCANTINS,CRISTALANDIA,Cerrado,-10.561,-49.54
9/1/20,Brasil,TOCANTINS,CRISTALANDIA,Cerrado,-10.579,-49.565
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.319,-44.813
9/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-11.448,-50.139
9/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-11.444,-50.108
9/1/20,Brasil,TOCANTINS,CRISTALANDIA,Cerrado,-10.576,-49.538
9/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-11.516,-50.589
9/1/20,Brasil,TOCANTINS,PINDORAMA DO TOCANTINS,Cerrado,-11.239,-47.434
9/1/20,Brasil,MARANHAO,TUNTUM,Cerrado,-5.762,-44.907
9/1/20,Brasil,TOCANTINS,PINDORAMA DO TOCANTINS,Cerrado,-11.234,-47.397
9/1/20,Brasil,TOCANTINS,PIUM,Cerrado,-10.539,-49.121
9/1/20,Brasil,TOCANTINS,PINDORAMA DO TOCANTINS,Cerrado,-11.252,-47.432
9/1/20,Brasil,TOCANTINS,PINDORAMA DO TOCANTINS,Cerrado,-11.249,-47.413
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.34,-44.82
9/1/20,Brasil,TOCANTINS,PIUM,Cerrado,-10.536,-49.095
9/1/20,Brasil,TOCANTINS,PINDORAMA DO TOCANTINS,Cerrado,-11.247,-47.396
9/1/20,Brasil,TOCANTINS,PINDORAMA DO TOCANTINS,Cerrado,-11.262,-47.412
9/1/20,Brasil,TOCANTINS,PALMAS,Cerrado,-10.407,-48.06
9/1/20,Brasil,TOCANTINS,ALMAS,Cerrado,-11.26,-47.394
9/1/20,Brasil,TOCANTINS,PINDORAMA DO TOCANTINS,Cerrado,-11.253,-47.425
9/1/20,Brasil,TOCANTINS,XAMBIOA,Amazonia,-6.817,-48.403
9/1/20,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,-10.404,-48.04
9/1/20,Brasil,TOCANTINS,PINDORAMA DO TOCANTINS,Cerrado,-11.251,-47.407
9/1/20,Brasil,MARANHAO,TUNTUM,Cerrado,-5.76,-44.896
9/1/20,Brasil,TOCANTINS,PINDORAMA DO TOCANTINS,Cerrado,-11.263,-47.405
9/1/20,Brasil,TOCANTINS,PALMAS,Cerrado,-10.42,-48.058
9/1/20,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,-11.729,-50.451
9/1/20,Brasil,TOCANTINS,ALMAS,Cerrado,-11.387,-47.364
9/1/20,Brasil,MARANHAO,ESTREITO,Cerrado,-6.699,-47.401
9/1/20,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,-10.418,-48.052
9/1/20,Brasil,TOCANTINS,ALMAS,Cerrado,-11.4,-47.363
9/1/20,Brasil,TOCANTINS,GURUPI,Cerrado,-11.652,-49.067
9/1/20,Brasil,TOCANTINS,MATEIROS,Cerrado,-10.461,-46.175
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.33,-44.573
9/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-11.385,-50.147
9/1/20,Brasil,PARA,TAILANDIA,Amazonia,-3.27,-48.918
9/1/20,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,-11.139,-47.999
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.328,-44.562
9/1/20,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,-11.137,-47.978
9/1/20,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,-11.152,-47.997
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.306,-44.401
9/1/20,Brasil,TOCANTINS,ALIANCA DO TOCANTINS,Cerrado,-11.315,-49.258
9/1/20,Brasil,MARANHAO,SITIO NOVO,Cerrado,-6.047,-46.724
9/1/20,Brasil,TOCANTINS,ALIANCA DO TOCANTINS,Cerrado,-11.312,-49.232
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.329,-44.5
9/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-11.492,-50.524
9/1/20,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,-11.488,-50.491
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.879,-44.161
9/1/20,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,-8.435,-50.339
9/1/20,Brasil,PARA,CONCEICAO DO ARAGUAIA,Amazonia,-8.339,-49.32
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.878,-44.152
9/1/20,Brasil,PARA,CONCEICAO DO ARAGUAIA,Amazonia,-8.336,-49.296
9/1/20,Brasil,MARANHAO,ROSARIO,Amazonia,-3.066,-44.177
9/1/20,Brasil,MARANHAO,TASSO FRAGOSO,Cerrado,-7.859,-45.629
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.435,-45.195
9/1/20,Brasil,PARA,MOJU,Amazonia,-3.324,-49.214
9/1/20,Brasil,TOCANTINS,ANANAS,Cerrado,-6.24,-48.026
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.434,-45.184
9/1/20,Brasil,PARA,BANNACH,Amazonia,-7.483,-50.577
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.422,-44.954
9/1/20,Brasil,TOCANTINS,ANANAS,Cerrado,-6.238,-48.009
9/1/20,Brasil,PARA,BANNACH,Amazonia,-7.479,-50.548
