datahora,country,estado,municipio,bioma,Latitude,Longitude
7/2/20,Brasil,TOCANTINS,CASEARA,Cerrado,-9.444,-49.822
7/2/20,Brasil,TOCANTINS,CASEARA,Cerrado,-9.445,-49.831
7/2/20,Brasil,TOCANTINS,ABREULANDIA,Cerrado,-9.459,-49.288
7/2/20,Brasil,TOCANTINS,ABREULANDIA,Cerrado,-9.461,-49.297
7/2/20,Brasil,TOCANTINS,RIO SONO,Cerrado,-9.528,-47.429
7/2/20,Brasil,TOCANTINS,TOCANTINIA,Cerrado,-9.497,-48.338
7/2/20,Brasil,TOCANTINS,RIO SONO,Cerrado,-9.53,-47.439
7/2/20,Brasil,TOCANTINS,TOCANTINIA,Cerrado,-9.53,-48.25
7/2/20,Brasil,TOCANTINS,TOCANTINIA,Cerrado,-9.532,-48.26
7/2/20,Brasil,TOCANTINS,LIZARDA,Cerrado,-9.545,-46.918
7/2/20,Brasil,TOCANTINS,LIZARDA,Cerrado,-9.554,-46.917
7/2/20,Brasil,TOCANTINS,TOCANTINIA,Cerrado,-9.624,-48.268
7/2/20,Brasil,TOCANTINS,LIZARDA,Cerrado,-9.556,-46.927
7/2/20,Brasil,TOCANTINS,ITAPORA DO TOCANTINS,Amazonia,-8.384,-48.717
7/2/20,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,-8.572,-50.094
7/2/20,Brasil,TOCANTINS,ITAPORA DO TOCANTINS,Amazonia,-8.39,-48.701
7/2/20,Brasil,PARA,SANTA MARIA DAS BARREIRAS,Amazonia,-8.571,-50.085
7/2/20,Brasil,PARA,CONCEICAO DO ARAGUAIA,Amazonia,-8.722,-49.731
7/2/20,Brasil,MARANHAO,BALSAS,Cerrado,-8.762,-46.683
7/2/20,Brasil,TOCANTINS,CENTENARIO,Cerrado,-8.897,-47.384
7/2/20,Brasil,TOCANTINS,BOM JESUS DO TOCANTINS,Cerrado,-8.972,-47.956
7/2/20,Brasil,TOCANTINS,BOM JESUS DO TOCANTINS,Cerrado,-8.973,-47.966
7/2/20,Brasil,TOCANTINS,CENTENARIO,Cerrado,-9.143,-47.318
7/2/20,Brasil,MARANHAO,BALSAS,Cerrado,-9.057,-46.676
7/2/20,Brasil,TOCANTINS,DOIS IRMAOS DO TOCANTINS,Cerrado,-9.224,-49.317
7/2/20,Brasil,TOCANTINS,DOIS IRMAOS DO TOCANTINS,Cerrado,-9.226,-49.326
7/2/20,Brasil,TOCANTINS,CENTENARIO,Cerrado,-9.239,-47.532
7/2/20,Brasil,TOCANTINS,DOIS IRMAOS DO TOCANTINS,Cerrado,-9.336,-49.128
7/2/20,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,-9.672,-46.15
7/2/20,Brasil,TOCANTINS,RIO SONO,Cerrado,-9.763,-47.21
7/2/20,Brasil,TOCANTINS,RIO SONO,Cerrado,-9.87,-47.382
7/2/20,Brasil,MATO GROSSO,SANTA CRUZ DO XINGU,Amazonia,-9.888,-52.427
7/2/20,Brasil,TOCANTINS,PORTO NACIONAL,Cerrado,-10.186,-48.577
7/2/20,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazonia,-10.286,-53.779
7/2/20,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazonia,-10.287,-53.772
7/2/20,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazonia,-10.289,-53.787
7/2/20,Brasil,TOCANTINS,PIUM,Cerrado,-10.426,-49.873
